latitude,longitude,elevation,miles
36.0965,-112.0985,2509.19,0.0
36.0967,-112.0982,2498.03,0.02172
36.0969,-112.1028,2493.44,0.27949
36.0971,-112.1061,2481.63,0.46466
36.0973,-112.1033,2486.88,0.62195
36.0975,-112.1006,2486.22,0.77366
36.0977,-112.1068,2481.96,1.12086
36.0979,-112.1045,2476.71,1.25029
36.0981,-112.1046,2465.22,1.26518
36.0983,-112.1007,2459.97,1.48384
36.0985,-112.1014,2478.35,1.52536
36.0987,-112.1081,2498.69,1.90052
36.0989,-112.1066,2508.53,1.98557
36.0991,-112.1026,2514.76,2.20982
36.0993,-112.1038,2515.09,2.27837
36.0995,-112.1032,2480.31,2.31466
36.0997,-112.1053,2519.69,2.43297
36.0999,-112.1042,2498.36,2.49605
36.1001,-112.0948,2475.07,3.0222
36.1003,-112.0951,2479.66,3.04392
36.1005,-112.0951,2478.35,3.05771
36.1007,-112.0952,2481.63,3.07259
36.1009,-112.0953,2487.53,3.08747
36.1011,-112.0954,2487.2,3.10236
36.1013,-112.0955,2489.5,3.11724
36.1015,-112.0956,2489.17,3.13212
36.1017,-112.0956,2492.45,3.14591
36.1019,-112.0957,2493.44,3.16079
36.1021,-112.0958,2493.44,3.17567
36.1023,-112.0958,2494.42,3.18946
36.1025,-112.0959,2494.09,3.20434
36.1027,-112.096,2491.47,3.21922
36.1029,-112.096,2497.05,3.23301
36.1031,-112.0961,2500.0,3.2479
36.1033,-112.0961,2500.0,3.26169
36.1035,-112.0961,2501.31,3.27547
36.1037,-112.096,2508.86,3.29036
36.1039,-112.0959,2509.84,3.30524
36.1041,-112.0958,2514.44,3.32012
36.1043,-112.0955,2519.69,3.34184
36.1045,-112.0953,2522.64,3.3596
36.1047,-112.0952,2527.56,3.37448
36.1049,-112.0949,2530.84,3.39621
36.1051,-112.0948,2532.81,3.41109
36.1053,-112.0948,2534.78,3.42488
36.1055,-112.0948,2536.09,3.43867
36.1057,-112.0947,2531.17,3.45355
36.1059,-112.0947,2543.64,3.46734
36.1061,-112.0945,2542.98,3.4851
36.1063,-112.0944,2545.93,3.49998
36.1065,-112.0943,2549.21,3.51486
36.1067,-112.0941,2559.06,3.53262
36.1069,-112.0939,2559.06,3.55038
36.1071,-112.0934,2576.77,3.58157
36.1073,-112.0931,2578.74,3.60329
36.1075,-112.0929,2584.65,3.62105
36.1077,-112.0926,2594.82,3.64277
36.1079,-112.0925,2591.86,3.65765
36.1081,-112.0925,2595.8,3.67144
36.1083,-112.0924,2598.43,3.68632
36.1085,-112.0924,2598.43,3.70011
36.1087,-112.0924,2598.75,3.7139
36.1089,-112.0924,2598.1,3.72769
36.1091,-112.0923,2598.1,3.74257
36.1093,-112.0922,2600.39,3.75745
36.1095,-112.0922,2598.43,3.77124
36.1097,-112.0923,2598.43,3.78612
36.1099,-112.0924,2598.43,3.80101
36.1101,-112.0924,2598.43,3.81479
36.1103,-112.0923,2613.19,3.82968
36.1105,-112.0919,2624.02,3.85596
36.1107,-112.0916,2619.09,3.87768
36.1109,-112.0913,2632.22,3.89941
36.1111,-112.0909,2645.01,3.92569
36.1113,-112.09,2661.75,3.9779
36.1115,-112.0898,2664.04,3.99566
36.1117,-112.0889,2685.04,4.04786
36.1119,-112.0887,2668.64,4.06562
36.1121,-112.0886,2676.51,4.0805
36.1123,-112.0885,2678.15,4.09538
36.1125,-112.0885,2677.17,4.10917
36.1127,-112.0885,2685.7,4.12296
36.1129,-112.0886,2678.15,4.13784
36.1131,-112.0887,2686.02,4.15272
36.1133,-112.0884,2682.09,4.17445
36.1135,-112.0883,2688.98,4.18933
36.1137,-112.088,2691.6,4.21105
36.1139,-112.0871,2698.16,4.26325
36.1141,-112.0867,2709.97,4.28954
36.1143,-112.0862,2707.68,4.32073
36.1145,-112.0858,2723.43,4.34701
36.1147,-112.0859,2730.31,4.36189
36.1149,-112.0861,2745.41,4.37965
36.1151,-112.0865,2773.62,4.40594
36.1153,-112.0868,2749.67,4.42766
36.1155,-112.0871,2776.25,4.44938
36.1157,-112.0872,2760.5,4.46426
36.1159,-112.0872,2779.2,4.47805
36.1161,-112.0872,2795.93,4.49184
36.1163,-112.0872,2791.99,4.50563
36.1165,-112.0871,2787.73,4.52051
36.1167,-112.0871,2800.85,4.5343
36.1169,-112.0871,2802.17,4.54809
36.1171,-112.0871,2804.13,4.56188
36.1173,-112.087,2824.8,4.57676
36.1175,-112.0846,2831.36,4.71173
36.1177,-112.0849,2845.14,4.73345
36.1179,-112.0852,2828.08,4.75517
36.1181,-112.0858,2836.61,4.79146
36.1183,-112.0858,2842.85,4.80525
36.1185,-112.085,2828.08,4.85207
36.1187,-112.0845,2846.46,4.88326
36.1189,-112.084,2860.89,4.91444
36.1191,-112.0839,2857.28,4.92933
36.1193,-112.0839,2867.45,4.94312
36.1195,-112.0829,2883.86,5.00073
36.1197,-112.0827,2892.72,5.01849
36.1199,-112.0825,2882.87,5.03625
36.1201,-112.0823,2893.37,5.054
36.1203,-112.0823,2884.84,5.06779
36.1205,-112.0822,2896.98,5.08267
36.1207,-112.0822,2887.8,5.09646
36.1209,-112.0821,2896.33,5.11134
36.1211,-112.0814,2896.98,5.15286
36.1213,-112.0814,2892.39,5.16665
36.1215,-112.0805,2928.81,5.21885
36.1217,-112.0803,2925.85,5.23661
36.1219,-112.0803,2942.91,5.25039
36.1221,-112.0802,2942.91,5.26528
36.1223,-112.0802,2946.85,5.27907
36.1225,-112.0802,2965.88,5.29286
36.1227,-112.0802,2957.35,5.30664
36.1229,-112.0801,2955.05,5.32153
36.1231,-112.0801,2967.52,5.33532
36.1233,-112.0801,2964.24,5.3491
36.1235,-112.0801,2955.05,5.36289
36.1237,-112.08,2963.25,5.37778
36.1239,-112.08,2972.44,5.39157
36.1241,-112.0799,2964.9,5.40645
36.1243,-112.0797,2979.99,5.4242
36.1245,-112.0796,2979.66,5.43908
36.1247,-112.0795,2978.67,5.45397
36.1249,-112.0792,2967.85,5.47569
36.1251,-112.0791,2959.32,5.49057
36.1253,-112.079,2963.25,5.50545
36.1255,-112.0767,2991.14,5.63484
36.1257,-112.0767,2987.53,5.64863
36.1259,-112.078,2987.2,5.72264
36.1261,-112.0765,3003.61,5.80767
36.1263,-112.0754,2997.38,5.87072
36.1265,-112.0755,2998.69,5.88561
36.1267,-112.0755,2998.69,5.8994
36.1269,-112.0757,3003.94,5.91715
36.1271,-112.0759,3008.86,5.93491
36.1273,-112.076,3011.81,5.94979
36.1275,-112.0765,3016.73,5.98097
36.1277,-112.0768,3033.46,6.00269
36.1279,-112.0772,3046.59,6.02897
36.1281,-112.0771,3045.28,6.04385
36.1283,-112.0766,3053.48,6.07504
36.1285,-112.0766,3051.18,6.08883
36.1287,-112.0767,3061.68,6.10371
36.1289,-112.0767,3057.74,6.1175
36.1291,-112.0768,3060.7,6.13238
36.1293,-112.0769,3074.15,6.14726
36.1295,-112.077,3072.83,6.16214
36.1297,-112.0771,3079.07,6.17702
36.1299,-112.0771,3089.24,6.19081
36.1301,-112.0771,3088.58,6.2046
36.1303,-112.0769,3083.99,6.22236
36.1305,-112.0768,3077.1,6.23724
36.1307,-112.0763,3089.24,6.26842
36.1309,-112.0758,3099.08,6.2996
36.1311,-112.0755,3110.24,6.32132
36.1313,-112.0754,3107.28,6.3362
36.1315,-112.0753,3109.91,6.35108
36.1317,-112.0751,3098.1,6.36884
36.1319,-112.0749,3099.41,6.38659
36.1321,-112.0746,3102.69,6.40831
36.1323,-112.0745,3110.24,6.42319
36.1325,-112.0744,3113.19,6.43807
36.1327,-112.0741,3116.14,6.45979
36.1329,-112.0739,3125.66,6.47755
36.1331,-112.0736,3123.69,6.49927
36.1333,-112.0732,3136.15,6.52555
36.1335,-112.0728,3151.9,6.55183
36.1337,-112.0726,3152.89,6.56958
36.1339,-112.0725,3154.2,6.58446
36.1341,-112.0727,3165.03,6.60222
36.1343,-112.0729,3168.96,6.61998
36.1345,-112.073,3173.88,6.63486
36.1347,-112.0731,3176.51,6.64974
36.1349,-112.0731,3180.77,6.66353
36.1351,-112.0729,3180.45,6.68128
36.1353,-112.0725,3188.98,6.70756
36.1355,-112.0723,3189.63,6.72532
36.1357,-112.0723,3190.29,6.73911
36.1359,-112.0722,3188.32,6.75399
36.1361,-112.0721,3176.51,6.76887
36.1363,-112.0715,3186.02,6.80515
36.1365,-112.0709,3195.21,6.84143
36.1367,-112.0708,3200.13,6.85631
36.1369,-112.0707,3197.83,6.87119
36.1371,-112.0706,3208.01,6.88607
36.1373,-112.0703,3208.66,6.90779
36.1375,-112.0696,3216.21,6.9493
36.1377,-112.0689,3218.83,6.99081
36.1379,-112.0689,3222.77,7.00459
36.1381,-112.0689,3231.63,7.01838
36.1383,-112.0689,3234.58,7.03217
36.1385,-112.0691,3239.5,7.04993
36.1387,-112.069,3243.44,7.06481
36.1389,-112.0686,3253.61,7.09109
36.1391,-112.068,3257.22,7.12737
36.1393,-112.0671,3267.72,7.17956
36.1395,-112.0662,3268.04,7.23175
36.1397,-112.0661,3273.95,7.24663
36.1399,-112.0662,3283.14,7.26151
36.1401,-112.0663,3284.12,7.27639
36.1403,-112.0663,3284.12,7.29018
36.1405,-112.0663,3288.39,7.30397
36.1407,-112.0665,3293.96,7.32172
36.1409,-112.0667,3297.24,7.33948
36.1411,-112.0669,3306.43,7.35723
36.1413,-112.0669,3309.38,7.37102
36.1415,-112.0667,3311.68,7.38878
36.1417,-112.0664,3312.01,7.4105
36.1419,-112.0662,3315.94,7.42825
36.1421,-112.0661,3324.15,7.44313
36.1423,-112.066,3329.07,7.45801
36.1425,-112.0658,3329.72,7.47577
36.1427,-112.0657,3338.25,7.49065
36.1429,-112.0655,3346.46,7.5084
36.1431,-112.0654,3353.02,7.52328
36.1433,-112.0652,3360.24,7.54104
36.1435,-112.065,3361.88,7.5588
36.1437,-112.0644,3375.0,7.59507
36.1439,-112.0642,3378.28,7.61283
36.1441,-112.064,3384.19,7.63058
36.1443,-112.0637,3385.83,7.6523
36.1445,-112.0635,3386.15,7.67006
36.1447,-112.0634,3396.65,7.68494
36.1449,-112.0632,3396.98,7.70269
36.1451,-112.0631,3398.95,7.71757
36.1453,-112.063,3394.69,7.73245
36.1455,-112.063,3400.92,7.74624
36.1457,-112.0629,3400.59,7.76112
36.1459,-112.0628,3405.51,7.776
36.1461,-112.0627,3407.81,7.79088
36.1463,-112.0626,3412.07,7.80576
36.1465,-112.0625,3417.65,7.82064
36.1467,-112.0624,3419.29,7.83552
36.1469,-112.0623,3428.48,7.8504
36.1471,-112.0623,3429.79,7.86419
36.1473,-112.0623,3432.09,7.87798
36.1475,-112.0622,3435.7,7.89286
36.1477,-112.0622,3437.01,7.90665
36.1479,-112.0621,3444.88,7.92153
36.1481,-112.0621,3446.19,7.93532
36.1483,-112.062,3457.02,7.9502
36.1485,-112.0619,3457.68,7.96509
36.1487,-112.0619,3464.24,7.97887
36.1489,-112.0616,3470.14,8.00059
36.1491,-112.0613,3474.74,8.02231
36.1493,-112.0609,3486.88,8.04858
36.1495,-112.0605,3494.75,8.07486
36.1497,-112.0601,3494.09,8.10114
36.1499,-112.06,3494.09,8.11602
36.1501,-112.0599,3497.05,8.1309
