"STATION","NAME","DATE","TMAX","TMIN"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-06-19","68","50"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-06-20","74","45"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-06-21","72","38"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-06-22","71","37"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-06-23","76","42"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-06-24","78","47"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-06-25","83","46"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-06-26","77","50"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-06-27","81","49"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-06-28","75","49"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-06-29","73","47"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-06-30","74","42"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-01","74","45"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-02","76","45"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-03","73","47"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-04","75","44"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-05","80","45"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-06","86","49"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-07","85","54"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-08","85","54"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-09","84","53"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-10","86","54"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-11","83","52"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-12","74","52"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-13","63","44"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-14","65","42"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-15","78","45"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-16","76","49"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-17","72","52"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-18","74","47"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-19","77","49"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-20","79","50"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-21","79","48"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-22","79","45"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-23","81","45"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-24","84","46"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-25","87","48"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-26","87","52"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-27","88","55"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-28","91","57"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-29","92","59"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-30","86","56"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-07-31","82","55"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-08-01","85","55"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-08-02","88","52"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1995-08-03","85","58"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-05-13","79","52"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-05-14","78","46"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-05-15","77","49"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-05-16","72","48"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-05-17","76","41"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-05-18","78","49"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-05-19","76","48"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-05-20","73","39"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-05-21","75","34"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-05-22","72","46"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-05-23","61","34"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-05-24","56","38"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-05-25","48","29"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-05-26","54","26"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-05-27","62","31"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-05-28","70","37"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-05-29","71","33"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-05-30","68","39"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-05-31","74","35"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-01","76","41"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-02","80","51"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-03","83","43"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-04","90","43"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-05","88","55"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-06","85","43"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-07","88","50"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-08","88","50"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-09","87","45"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-10","86","47"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-11","81","46"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-12","83","44"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-13","78","44"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-14","80","42"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-15","80","44"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-16","82","43"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-17","84","46"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-18","84","39"
