"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00026471","PHANTOM RANCH, AZ US","1966-08-01",,,"0.35","0.0","0.0","109","75","76",,,,,,
"USC00026471","PHANTOM RANCH, AZ US","1966-08-02",,,"0.04","0.0","0.0","105","75","99",,,,,,
"USC00026471","PHANTOM RANCH, AZ US","1966-08-03",,,"0.00","0.0","0.0","110","75","108",,,,,,
"USC00026471","PHANTOM RANCH, AZ US","1966-08-04",,,"0.00","0.0","0.0","109","83","108",,,,,,
"USC00026471","PHANTOM RANCH, AZ US","1966-08-05",,,"0.00","0.0","0.0","114","79","110",,,,,,
"USC00026471","PHANTOM RANCH, AZ US","1966-08-06",,,"0.00","0.0","0.0","113","80","104",,,,,,
"USC00026471","PHANTOM RANCH, AZ US","1966-08-07",,,"0.00","0.0","0.0","112","80","106",,,,,,
"USC00026471","PHANTOM RANCH, AZ US","1966-08-08",,,"0.00","0.0","0.0","110","75","104",,,,,,
"USC00026471","PHANTOM RANCH, AZ US","1966-08-09",,,"0.00","0.0","0.0","107","82","102",,,,,,
"USC00026471","PHANTOM RANCH, AZ US","1966-08-10",,,"0.00","0.0","0.0","111","81","106",,,,,,
"USC00026471","PHANTOM RANCH, AZ US","1966-08-11",,,"0.00","0.0","0.0","107","80","105",,,,,,
"USC00026471","PHANTOM RANCH, AZ US","1966-08-12",,,"0.00","0.0","0.0","107","81","102",,,,,,
"USC00026471","PHANTOM RANCH, AZ US","1966-08-13",,,"0.00","0.0","0.0","106","79","101",,,,,,
"USC00026471","PHANTOM RANCH, AZ US","1966-08-14",,,"0.00","0.0","0.0","105","78","93",,,,,,
"USC00026471","PHANTOM RANCH, AZ US","1966-08-15",,,"0.00","0.0","0.0","107","73","105",,,,,,
"USC00026471","PHANTOM RANCH, AZ US","1966-08-16",,,"0.73","0.0","0.0","107","71","97",,,,,,
"USC00026471","PHANTOM RANCH, AZ US","1966-08-17",,,"0.00","0.0","0.0","110","76","106",,,,,,
"USC00026471","PHANTOM RANCH, AZ US","1966-08-18",,,"0.00","0.0","0.0","109","79","96",,,,,,
"USC00026471","PHANTOM RANCH, AZ US","1966-08-19",,,"0.00","0.0","0.0","104","80","100",,,,,,
"USC00026471","PHANTOM RANCH, AZ US","1966-08-20",,,"0.00","0.0","0.0","103","79","93",,,,,,
"USC00026471","PHANTOM RANCH, AZ US","1966-08-21",,,"0.00","0.0","0.0","103","75","98",,,,,,
"USC00026471","PHANTOM RANCH, AZ US","1966-08-22",,,"0.00","0.0","0.0","107","76","101",,,,,,
