count,itinerary
2246,CBG
1004,CBG CIG
923,CBG CBG
651,CIG
414,CBG CBG CIG
331,CCG CBG CIG
290,TCG
248,CIG CIG
237,CCG
226,CCG CBG
195,CCG CCG
170,CBG CCG
156,TCG TCG
101,NH1
98,BF5
82,CIG CBG
76,CCG CBG CBG CIG
76,CBG CCG CCG CBG
64,CBG CCG CCG CIG
63,CCG CIG
62,BM7 BM7
59,BM7
55,BF5 BF5
52,CIG CBG CCG
51,NA1
50,CIG CBG CIG
50,CBG CCG CCG CBG CIG
48,TCG TCG TCG
48,NF9
47,CIG CBG CBG CIG
44,BM7 BL7 CIG
42,CCG CCG CBG
41,NH1 NH1
41,CBG CCG CBG
39,BG9
39,BB9
38,BB9 BC9 BD9 BF5
37,CCG CBG CCG
36,CBG CBG CBG
35,CCG CCG CIG
33,CBG CBG CIG CIG
33,BL7 BL7
31,BM8
31,BJ9
31,BB9 BC9 BD9
29,BL7
28,CBG CCG CIG
28,CBG CCG CBG CIG
28,BL7 CIG
26,NCG
26,BL4 BL7 BM7
26,BB9 BB9
24,CBG CBG CCG
24,BN9
24,BG9 BE9
24,BE9 BG9
23,CBG AK9 AK9 CBG
23,BB9 BC9 BE9
21,CIG CBG CBG
21,CCG CBG CBG
21,BD9
21,BB9 BA9 BA9 BB9
21,AK9
20,BG9 BH9 BJ9
19,TCG TCG TCG TCG
19,BB9 BC9 BD9 BE9
19,AK9 AK9
18,BN9 BM7
18,BM7 BL7
18,BL8
18,BG9 BF5
17,CCG NCG CBG
17,BH9 BJ9
17,BD9 BE9
17,AE9 AE9
16,BJ9 BJ9
16,BB9 BA9 BB9
15,BL4
15,AE9 AE9 AE9 AE9
14,BN9 BN9
13,CCG CBG CBG CCG
13,BQ9 BQ9
13,BE9
13,AE9 AE9 AE9
13,AB0
12,BN9 BN9 BM7
12,BD9 BF5
12,AW7 AX7
12,AM9 AW8 AY9
12,AC9 AC9
11,NRA CCG CBG CIG
11,CBG NRA CBG
11,CBG AK9 AK9 AK9 CBG
11,BM7 BL7 BL4
11,BL8 CIG
11,BG9 BG9
11,BB9 BD9
11,AW7 AX7 AY9
11,AK9 AK9 AK9
